product_key,product_id,category_id,supplier_id,product_name,cost_price,retail_price,start_dttm,end_dttm,is_active
1,1,2,1,Студийный Усилитель Передо,91831.72,134340.96,2024-02-29 03:58:41.226528,2024-08-07 03:58:41.226528,False
2,1,2,1,Студийный Усилитель Передо,102035.24,149267.73,2024-08-07 03:58:41.226528,2999-12-31 23:59:59.000000,True
3,2,3,3,Электронный Усилитель Рассуждение,5825.41,7526.8,2026-05-12 07:16:53.923266,2999-12-31 23:59:59.000000,True
4,3,4,1,Базовый Набор А,79889.52,114946.67,2025-06-27 20:30:23.574548,2999-12-31 23:59:59.000000,True
5,4,1,1,Студийный Синтезатор Ведь,70329.65,122945.05,2023-06-10 00:08:08.336176,2024-04-03 00:08:08.336176,False
6,4,1,1,Студийный Синтезатор Ведь,78144.05,136605.61,2024-04-03 00:08:08.336176,2999-12-31 23:59:59.000000,True
7,5,4,2,Базовый Комплект Командование,93962.81,169055.75,2024-12-22 06:35:54.232988,2025-05-05 06:35:54.232988,False
8,5,4,2,Базовый Комплект Командование,104403.12,187839.72,2025-05-05 06:35:54.232988,2999-12-31 23:59:59.000000,True
9,6,4,2,Электронный Инструмент Разуметься,121766.47,216809.67,2026-02-19 15:15:30.906135,2999-12-31 23:59:59.000000,True
10,7,1,5,Базовый Комплект Еврейский,133808.42,228921.75,2025-11-21 14:17:42.092968,2999-12-31 23:59:59.000000,True
11,8,2,3,Базовый Набор Район,17174.71,22680.72,2024-07-13 11:32:30.936383,2025-02-24 11:32:30.936383,False
12,8,2,3,Базовый Набор Район,19083.01,25200.8,2025-02-24 11:32:30.936383,2999-12-31 23:59:59.000000,True
13,9,5,5,Акустический Синтезатор Неожиданно,120745.6,184860.08,2025-09-25 13:54:14.229925,2999-12-31 23:59:59.000000,True
14,10,3,4,Электронный Усилитель Чувство,62208.47,89932.3,2025-12-05 11:27:51.220914,2999-12-31 23:59:59.000000,True
15,11,3,1,Электронный Синтезатор Оборот,102336.24,143957.3,2026-04-30 21:09:28.031669,2999-12-31 23:59:59.000000,True
16,12,5,2,Студийный Синтезатор Костер,75926.7,130664.31,2026-04-01 13:02:43.985766,2999-12-31 23:59:59.000000,True
17,13,3,2,Студийный Комплект Скользить,140275.94,187307.96,2025-07-15 00:33:14.409016,2999-12-31 23:59:59.000000,True
18,14,3,1,Акустический Набор Конференция,86061.16,131717.02,2023-06-18 19:31:09.297971,2023-12-12 19:31:09.297971,False
19,14,3,1,Акустический Набор Конференция,95623.51,146352.25,2023-12-12 19:31:09.297971,2999-12-31 23:59:59.000000,True
20,15,1,5,Студийный Усилитель Степь,141299.44,182631.87,2025-07-19 08:07:38.173383,2999-12-31 23:59:59.000000,True
21,16,5,3,Базовый Инструмент Чем,111564.18,135776.29,2024-02-19 14:04:01.307308,2024-11-09 14:04:01.307308,False
22,16,5,3,Базовый Инструмент Чем,123960.2,150862.55,2024-11-09 14:04:01.307308,2999-12-31 23:59:59.000000,True
23,17,3,2,Базовый Синтезатор Бок,93098.16,113409.53,2026-04-28 11:47:21.544986,2999-12-31 23:59:59.000000,True
24,18,3,4,Студийный Синтезатор Порядок,40785.89,50728.82,2024-08-07 17:42:06.085508,2025-03-07 17:42:06.085508,False
25,18,3,4,Студийный Синтезатор Порядок,45317.65,56365.36,2025-03-07 17:42:06.085508,2999-12-31 23:59:59.000000,True
26,19,4,2,Акустический Усилитель Налоговый,22406.63,38469.74,2025-09-29 14:18:49.146116,2999-12-31 23:59:59.000000,True
27,20,3,4,Студийный Комплект Жить,69958.84,88407.7,2023-07-05 00:15:31.021825,2023-11-13 00:15:31.021825,False
28,20,3,4,Студийный Комплект Жить,77732.04,98230.78,2023-11-13 00:15:31.021825,2999-12-31 23:59:59.000000,True
29,21,2,2,Профессиональный Инструмент Эффект,44241.59,63287.15,2026-04-23 21:10:49.671667,2999-12-31 23:59:59.000000,True
